address,city,state,zip,price,beds,baths,sqft,lat,lon,url,flags,district,district_grades,elem,mid,high,top_school,top_rating,school_count
23 Oneil Dr,Westborough,MA,01581,3750.0,4.0,2.0,2200.0,42.26167,-71.618939,https://www.realtor.com/rentals/details/23-Oneil-Dr_Westborough_MA_01581_M44749-59657,,Westborough School District,PK-12,8.3,9.0,,Annie E. Fales Elementary School,9,4
Upton Rd Unit 1,Westborough,MA,01581,2000.0,1.0,1.0,1200.0,42.257648,-71.607124,https://www.realtor.com/rentals/details/1-Upton-Rd_Westborough_MA_01581_M96639-72319,UNIT,Westborough School District,PK-12,8.3,9.0,,Annie E. Fales Elementary School,9,4
14C Mayberry Dr,Westborough,MA,01581,1700.0,1.0,1.0,653.0,42.276428,-71.614391,https://www.realtor.com/rentals/details/14C-Mayberry-Dr_Westborough_MA_01581_M49865-86134,MULTI,Westborough School District,PK-12,8.2,9.0,,Annie E. Fales Elementary School,9,5
23 Grove St Unit C,Westborough,MA,01581,2595.0,2.0,1.0,1200.0,42.268944,-71.617462,https://www.realtor.com/rentals/details/23-Grove-St-C_Westborough_MA_01581_M97007-93825,UNIT|MULTI,Westborough School District,PK-12,8.2,9.0,,Annie E. Fales Elementary School,9,5
45 Maynard St Apt 25,Westborough,MA,01581,1795.0,1.0,1.0,650.0,42.271778,-71.634491,https://www.realtor.com/rentals/details/45-Maynard-St-Apt-25_Westborough_MA_01581_M99868-93302,UNIT,Westborough School District,PK-12,8.2,9.0,,Annie E. Fales Elementary School,9,5
9-B Mayberry Dr Unit 1,Westborough,MA,01581,2025.0,2.0,1.0,826.0,42.275815,-71.614606,https://www.realtor.com/rentals/details/9B-Mayberry-Dr-Apt-1_Westborough_MA_01581_M36506-91242,UNIT|MULTI,Westborough School District,PK-12,8.2,9.0,,Annie E. Fales Elementary School,9,5
100 Charlestown Meadow Dr,Westborough,MA,01581,,,,,42.26832,-71.65903,https://www.realtor.com/rentals/details/100-Charlestown-Meadow-Dr_Westborough_MA_01581_M34505-80008,,Westborough School District,PK-12,8.0,9.0,,Annie E. Fales Elementary School,9,5
1233 Main St Apt D,Holden,MA,01520,2050.0,2.0,1.0,,42.351139,-71.864586,https://www.realtor.com/rentals/details/1233-Main-St-Apt-D_Holden_MA_01520_M94564-04414,UNIT|MULTI,Wachusett School District,PK-12,8.0,6.0,,Davis Hill Elementary School,9,4
59 School St Unit B12,Northborough,MA,01532,2000.0,2.0,1.0,905.0,42.316419,-71.635026,https://www.realtor.com/rentals/details/59-School-St-Apt-12B_Northborough_MA_01532_M46764-76204,UNIT,,,7.2,6.0,,Fannie E. Proctor Elementary School,8,5
29 South St Unit 2,Northborough,MA,01532,2500.0,2.0,1.0,700.0,42.318699,-71.642197,https://www.realtor.com/rentals/details/29-South-St-2_Northborough_MA_01532_M92162-74678,UNIT,,,7.2,6.0,,Fannie E. Proctor Elementary School,8,5
