lat,lon,city,state,address,elementary,middle,high,property_url
42.09484,-70.948577,Abington,MA,40 Washington St,,Abington Middle,Abington High,https://www.realtor.com/realestateandhomes-detail/40-Washington-St_Abington_MA_02351_M37579-91447
42.129965,-70.969456,Abington,MA,70 Cynthia Rd,Woodsdale,Frolio Middle,,https://www.realtor.com/realestateandhomes-detail/70-Cynthia-Rd_Abington_MA_02351_M40542-76996
42.119955,-70.973623,Abington,MA,91 Loganberry Dr,,Abington Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/91-Loganberry-Dr_Abington_MA_02351_M44996-95500
42.091544,-70.9637,Abington,MA,62 Clapp St,Beaver Brook,Abington Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/62-Clapp-St_Abington_MA_02351_M30704-14508
42.114387,-70.995105,Abington,MA,521 Hampton Way Unit 521,Beaver Brook Elementary,,,https://www.realtor.com/realestateandhomes-detail/521-Hampton-Way_Abington_MA_02351_M42628-49434
42.119535,-70.966452,Abington,MA,26 Crabtree Ln,Beaver Brook/ Woodsdale,Abington Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/26-Crabtree-Ln_Abington_MA_02351_M38337-25808
42.113812,-70.972968,Abington,MA,214 Presidential Dr,,,Abington High School,https://www.realtor.com/realestateandhomes-detail/214-Presidential-Dr_Abington_MA_02351_M35925-12289
42.114387,-70.995105,Abington,MA,717 Hampton Way Unit 717,Beaver Brook Elementary,Abington,Abington,https://www.realtor.com/realestateandhomes-detail/717-Hampton-Way_Abington_MA_02351_M46363-95720
42.447202,-71.453316,Acton,MA,5 Main St,Flex Zone,Rj Grey,Acton-Boxborough Rsd,https://www.realtor.com/realestateandhomes-detail/5-Main-St_Acton_MA_01720_M35282-11571
42.478212,-71.426221,Acton,MA,6 Hosmer St,Parker-Damon,Abrjhs,Abrhs,https://www.realtor.com/realestateandhomes-detail/6-Hosmer-St_Acton_MA_01720_M30683-49841
42.460929,-71.431473,Acton,MA,35 Parker St,,Rj Grey,,https://www.realtor.com/realestateandhomes-detail/35-Parker-St_Acton_MA_01720_M36438-85057
42.464873,-71.470716,Acton,MA,17 Nash Rd,Acton,Rj Grey Hs,Abrhs,https://www.realtor.com/realestateandhomes-detail/17-Nash-Rd_Acton_MA_01720_M42589-10097
42.477272,-71.438013,Acton,MA,67 Taylor Rd,,R.J. Grey,A.B.R.H.S.,https://www.realtor.com/realestateandhomes-detail/67-Taylor-Rd_Acton_MA_01720_M42829-98723
42.474976,-71.482922,Acton,MA,7 Cherry Ridge Rd,,Rjgrey,Abrhs,https://www.realtor.com/realestateandhomes-detail/7-Cherry-Ridge-Rd_Acton_MA_01720_M30868-71014
42.479328,-71.439039,Acton,MA,41 Taylor Rd,,,Abrhs,https://www.realtor.com/realestateandhomes-detail/41-Taylor-Rd_Acton_MA_01720_M47112-67554
42.477879,-71.470882,Acton,MA,3 West Rd,Douglas Elementary,Rj Grey,Acton/Boxborough Regional,https://www.realtor.com/realestateandhomes-detail/3-West-Rd_Acton_MA_01720_M32203-94886
42.487106,-71.435883,Acton,MA,7 Minuteman Rd,Acton,Rj Grey,Acton-Boxboro Regional Hs,https://www.realtor.com/realestateandhomes-detail/7-Minuteman-Rd_Acton_MA_01720_M92321-48107
42.520466,-71.429985,Acton,MA,505 Tumbling Hawk Unit 505,Ab Regional,R.J. Grey Regional Junior High,Ab Regional High School,https://www.realtor.com/realestateandhomes-detail/505-Tumbling-Hawk_Acton_MA_01718_M45055-29286
42.467254,-71.47142,Acton,MA,146 Central St,,,Acton/Boxborough Regional High,https://www.realtor.com/realestateandhomes-detail/146-Central-St_Acton_MA_01720_M42901-16518
42.482198,-71.404759,Acton,MA,10 Wingate Ln,Parker Damon,Rj Grey,Acton-Boxboro Regional Hs,https://www.realtor.com/realestateandhomes-detail/10-Wingate-Ln_Acton_MA_01720_M30387-60682
42.476919,-71.474516,Acton,MA,255 Arlington St Unit 12A,Priority Enrollment,Rj Grey,Abrhs,https://www.realtor.com/realestateandhomes-detail/255-Arlington-St-A12_Acton_MA_01720_M34374-73402
42.493024,-71.438154,Acton,MA,15 Larch Rd,Acton,Acton-Boxborough Junior High,Acton-Boxborough Regional High,https://www.realtor.com/realestateandhomes-detail/15-Larch-Rd_Acton_MA_01720_M44889-76207
42.496165,-71.411998,Acton,MA,11 Longmeadow Way,Parker Damon* See Firm Remarks,R.J. Grey Junior High,Acton-Boxborough High School,https://www.realtor.com/realestateandhomes-detail/11-Longmeadow-Way_Acton_MA_01720_M30495-30540
42.461236,-71.483482,Acton,MA,1 Heather Hill Rd,Gates,Rj Grey Junior High School,Acton Boxboro Regional Hs,https://www.realtor.com/realestateandhomes-detail/1-Heather-Hill-Rd_Acton_MA_01720_M33683-40678
42.506089,-71.421154,Acton,MA,374 Great Rd Apt 11,,,Acton-Boxborough Hs,https://www.realtor.com/realestateandhomes-detail/374-Great-Rd-Apt-11_Acton_MA_01720_M47772-72539
42.475227,-71.431777,Acton,MA,24 Forest Rd,,Abrjhs,Abrhs,https://www.realtor.com/realestateandhomes-detail/24-Forest-Rd_Acton_MA_01720_M35716-63660
42.520067,-71.429665,Acton,MA,559 Great Elm Way Unit 559,Abrs,Rj Grey Jhs,Abrhs,https://www.realtor.com/realestateandhomes-detail/559-Great-Elm-Way_Acton_MA_01718_M44484-30861
42.490485,-71.411787,Acton,MA,88 Esterbrook Rd,,,Abrhs,https://www.realtor.com/realestateandhomes-detail/88-Esterbrook-Rd_Acton_MA_01720_M37190-75653
42.514771,-71.41304,Acton,MA,43 Quarry Rd,Gates And Douglas Elementary,Raymond J. Grey Junior,Acton-Boxborough Regional High,https://www.realtor.com/realestateandhomes-detail/43-Quarry-Rd_Acton_MA_01720_M38705-67424
