lat,lon,city,state,address,elementary,middle,high,property_url
42.12445,-70.93694,Abington,MA,60 Pattison St Unit 17,Beaver Brook & Woodsdale,Abington Middle,Abington High,https://www.realtor.com/realestateandhomes-detail/60-Pattison-St-17_Abington_MA_02351_M42293-68354
42.105317,-70.930202,Abington,MA,518 Summer St,,,Abington,https://www.realtor.com/realestateandhomes-detail/518-Summer-St_Abington_MA_02351_M35227-13179
42.106599,-70.947102,Abington,MA,23 Belmont St,Beaver Elementary,Frolio Middle,Abington High,https://www.realtor.com/realestateandhomes-detail/23-Belmont-St_Abington_MA_02351_M45932-70281
42.111881,-70.93033,Abington,MA,153 Pilgrim St,Beaver Brook,Abington Middle,,https://www.realtor.com/realestateandhomes-detail/153-Pilgrim-St_Abington_MA_02351_M37905-17094
42.115617,-70.969282,Abington,MA,22 Nardone Cir,Beaver Brook And Woodsdale,Abington Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/22-Nardone-Cir_Abington_MA_02351_M42143-50179
42.099655,-70.96389,Abington,MA,125 High St,Beaver Brook/Woodsdale,,,https://www.realtor.com/realestateandhomes-detail/125-High-St_Abington_MA_02351_M43617-74247
42.105997,-70.9301,Abington,MA,17 Melvern Rd,,Abington Middle,Abington High,https://www.realtor.com/realestateandhomes-detail/17-Melvern-Rd_Abington_MA_02351_M44572-49591
42.123973,-70.970432,Abington,MA,451 Lincoln St,,,Abington High,https://www.realtor.com/realestateandhomes-detail/451-Lincoln-St_Abington_MA_02351_M45388-53079
42.091427,-70.968685,Abington,MA,42 Allen St,Beaver Brook K-2/Woodsdale 3-4,Abington Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/42-Allen-St_Abington_MA_02351_M48779-07550
42.12757,-70.936033,Abington,MA,239 Birch St,Woodsdale/Beaver Brook,Abington Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/239-Birch-St_Abington_MA_02351_M38296-16588
42.138842,-70.970552,Abington,MA,14 Jamieson St,,Abington,Abington,https://www.realtor.com/realestateandhomes-detail/14-Jamieson-St_Abington_MA_02351_M33203-69963
42.096344,-70.949392,Abington,MA,99 Washington St,,Abington Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/99-Washington-St_Abington_MA_02351_M45292-29905
42.117509,-70.968735,Abington,MA,332 Hancock St,Woodsdale Elementary School,Frolio Middle School,Abington High School,https://www.realtor.com/realestateandhomes-detail/332-Hancock-St_Abington_MA_02351_M46598-55594
42.105171,-70.948383,Abington,MA,45 Bedford St,Beaver Brook/Woodsdale,Abington,Abington,https://www.realtor.com/realestateandhomes-detail/45-Bedford-St_Abington_MA_02351_M41229-14077
