lat,lon,city,state,address,level,mls_name,ncessch,nces_name,leaid,match_method
42.129965,-70.969456,Abington,MA,70 Cynthia Rd,elementary,Woodsdale,250165000006,Woodsdale Elementary School,2501650,best_match
42.091544,-70.9637,Abington,MA,62 Clapp St,elementary,Beaver Brook,250165000434,Beaver Brook Elementary,2501650,best_match
42.114387,-70.995105,Abington,MA,521 Hampton Way Unit 521,elementary,Beaver Brook Elementary,250165000434,Beaver Brook Elementary,2501650,best_match
42.119535,-70.966452,Abington,MA,26 Crabtree Ln,elementary,Beaver Brook/ Woodsdale,250165000434,Beaver Brook Elementary,2501650,distinctive_token
42.114387,-70.995105,Abington,MA,717 Hampton Way Unit 717,elementary,Beaver Brook Elementary,250165000434,Beaver Brook Elementary,2501650,best_match
42.478212,-71.426221,Acton,MA,6 Hosmer St,elementary,Parker-Damon,,,,
42.464873,-71.470716,Acton,MA,17 Nash Rd,elementary,Acton,,,,
42.477879,-71.470882,Acton,MA,3 West Rd,elementary,Douglas Elementary,250171000007,C.T. Douglas Elementary School,2501710,best_match
42.487106,-71.435883,Acton,MA,7 Minuteman Rd,elementary,Acton,,,,
42.520466,-71.429985,Acton,MA,505 Tumbling Hawk Unit 505,elementary,Ab Regional,,,,
42.482198,-71.404759,Acton,MA,10 Wingate Ln,elementary,Parker Damon,,,,
42.493024,-71.438154,Acton,MA,15 Larch Rd,elementary,Acton,,,,
42.496165,-71.411998,Acton,MA,11 Longmeadow Way,elementary,Parker Damon* See Firm Remarks,,,,
42.461236,-71.483482,Acton,MA,1 Heather Hill Rd,elementary,Gates,250171000008,Paul P Gates Elementary School,2501710,best_match
42.520067,-71.429665,Acton,MA,559 Great Elm Way Unit 559,elementary,Abrs,,,,
42.514771,-71.41304,Acton,MA,43 Quarry Rd,elementary,Gates And Douglas Elementary,,,,
42.500934,-71.411936,Acton,MA,6 Blue Heron Way Unit 6,elementary,Acton Boxboro,,,,
42.47812,-71.407816,Acton,MA,5 Myrtle Dr,elementary,Parker Damon,,,,
42.500909,-71.463641,Acton,MA,220 Newtown Rd,elementary,Choice Of 6,,,,
42.494508,-71.410347,Acton,MA,9 Ladyslipper Ln,elementary,"K-6,Parker Damon School",,,,
42.499515,-71.457592,Acton,MA,6 Genevieve Ln,elementary,Acton,,,,
42.48418,-71.431213,Acton,MA,30-32 Concord Rd,elementary,Conant,250171000009,Luther Conant School,2501710,best_match
42.476589,-71.423396,Acton,MA,81 Alcott St,elementary,Parker Damon,,,,
42.443032,-71.440623,Acton,MA,39 Adams St,elementary,Acton,,,,
42.507351,-71.431274,Acton,MA,20 Parkland Ln Unit 20,elementary,Abrs,,,,
42.473819,-71.457627,Acton,MA,139 Prospect St Apt 1,elementary,Choice Of 6,,,,
42.477158,-71.472235,Acton,MA,23 Spruce St Unit B,elementary,Douglas Elementary School,250171000007,C.T. Douglas Elementary School,2501710,best_match
42.473679,-71.427405,Acton,MA,51 Hosmer St,elementary,Parker Damon,,,,
42.498736,-71.41322,Acton,MA,136 Davis Rd,elementary,Parker Damon,,,,
42.48418,-71.431213,Acton,MA,32 Concord Rd Unit B,elementary,Conant,250171000009,Luther Conant School,2501710,best_match
42.482,-71.476018,Acton,MA,5 Elm St Apt 1,elementary,Boardwalk Campus (2026-7),,,,
42.489201,-71.415283,Acton,MA,209 Great Rd Apt C1,elementary,Acton,,,,
42.503502,-71.419713,Acton,MA,5 Wampus Ave Apt 4,elementary,Choice Of 6,,,,
42.468487,-71.47847,Acton,MA,92A Willow St Unit 2,elementary,Acton,,,,
42.516938,-71.42929,Acton,MA,11 Beth Cir Unit 11,elementary,Ab Regional,,,,
42.489095,-71.468583,Acton,MA,67 Seminole Rd,elementary,Boardwalk,,,,
42.514118,-71.428436,Acton,MA,484 Great Rd # 3,elementary,Acton,,,,
42.512683,-71.412898,Acton,MA,5 Mirasol Cir Unit 5,elementary,Choice Of 5,,,,
42.45465,-71.434736,Acton,MA,120 Parker St Apt 15,elementary,Choice Of 6,,,,
42.457786,-71.449755,Acton,MA,40 High St,elementary,Choice Of Five,,,,
42.512683,-71.412898,Acton,MA,5 Mirasol Cir Unit 5,elementary,Choice Of 5,,,,
42.507483,-71.421738,Acton,MA,380 Great Rd Apt A204,elementary,Paul P. Gates Elementary,250171000008,Paul P Gates Elementary School,2501710,best_match
42.484014,-71.443606,Acton,MA,25 Revolutionary Rd,elementary,Boardwalk,,,,
42.494305,-71.413842,Acton,MA,12 Gabriel Ln Unit 12,elementary,New Vote In Town,,,,
42.514771,-71.41304,Acton,MA,43 Quarry Rd Unit 43,elementary,Gates And Douglas Elementary,,,,
42.457786,-71.449755,Acton,MA,40 High St,elementary,Choice Of Five,,,,
42.468487,-71.47847,Acton,MA,92A Willow St Unit 2,elementary,Acton,,,,
42.487535,-71.437402,Acton,MA,37 Newtown Rd,elementary,Boardwalk Campus,,,,
41.746258,-70.89925,Acushnet,MA,1324 Main St,elementary,Acushnet Elementary,250174000014,Acushnet Elementary School,2501740,best_match
41.708056,-70.890131,Acushnet,MA,6 Evergreen Dr,elementary,Acushnet Elementary,250174000014,Acushnet Elementary School,2501740,best_match
41.754608,-70.905563,Acushnet,MA,1479 Main St,elementary,Acushnet Elm,250174000014,Acushnet Elementary School,2501740,distinctive_token
41.685527,-70.911339,Acushnet,MA,15 Hiram St,elementary,Acushnet Elementary,250174000014,Acushnet Elementary School,2501740,best_match
